[2026-09-11 07:59:57] ::1 | OPTIONS /api/auth/login | 204 | 56ms | User:- | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36
[2026-09-11 08:05:23] ::1 | OPTIONS /api/auth/login | 204 | 427ms | User:- | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36
[2026-09-11 08:05:23] ::1 | POST /api/auth/login | 200 | 3475ms | User:- | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36
[2026-09-11 08:05:27] ::1 | OPTIONS /api/teacher/students-status | 204 | 1ms | User:- | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36
[2026-09-11 08:05:27] ::1 | OPTIONS /api/teacher/metrics | 204 | 2ms | User:- | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36
[2026-09-11 08:05:27] ::1 | OPTIONS /api/teacher/courses | 204 | 1ms | User:- | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36
[2026-09-11 08:05:27] ::1 | OPTIONS /api/teacher/students | 204 | 0ms | User:- | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36
[2026-09-11 08:05:27] ::1 | GET /api/teacher/courses | 200 | 507ms | User:oscar morales | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36
[2026-09-11 08:05:27] ::1 | GET /api/teacher/students | 200 | 512ms | User:oscar morales | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36
[2026-09-11 08:05:27] ::1 | GET /api/teacher/metrics | 200 | 587ms | User:oscar morales | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36
[2026-09-11 08:05:27] ::1 | GET /api/teacher/students-status | 200 | 594ms | User:oscar morales | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36
[2026-09-11 08:06:24] ::1 | OPTIONS /api/auth/register | 204 | 0ms | User:- | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36
[2026-09-11 08:06:24] ::1 | POST /api/auth/register | 201 | 984ms | User:- | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36
[2026-09-11 08:06:25] ::1 | OPTIONS /api/teacher/metrics | 204 | 0ms | User:- | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36
[2026-09-11 08:06:25] ::1 | GET /api/teacher/metrics | 200 | 29ms | User:oscar morales | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36
[2026-09-11 08:06:31] ::1 | OPTIONS /api/teacher/students-status | 204 | 0ms | User:- | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36
[2026-09-11 08:06:31] ::1 | OPTIONS /api/teacher/metrics | 204 | 0ms | User:- | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36
[2026-09-11 08:06:31] ::1 | OPTIONS /api/teacher/students | 204 | 0ms | User:- | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36
[2026-09-11 08:06:31] ::1 | OPTIONS /api/teacher/courses | 204 | 0ms | User:- | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36
[2026-09-11 08:06:31] ::1 | GET /api/teacher/students-status | 200 | 39ms | User:oscar morales | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36
[2026-09-11 08:06:31] ::1 | GET /api/teacher/metrics | 200 | 38ms | User:oscar morales | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36
[2026-09-11 08:06:31] ::1 | GET /api/teacher/students | 200 | 50ms | User:oscar morales | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36
